idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason
74,1,1,1,last_number,1,123,2.9944,stage1_natural_stop
75,8,1,8,last_number,1,169,3.9712,stage1_natural_stop
76,50,1,50,last_number,1,137,3.2655,stage1_natural_stop
77,3,1,3,last_number,1,229,5.455,stage1_natural_stop
78,5,1,5,last_number,1,94,2.2497,stage1_natural_stop
79,110,1,110,last_number,1,95,2.2605,stage1_natural_stop
80,1300,1,1300,s3_last_number,3,782,20.8102,stage3_after_budget_exhausted
81,16,1,16,last_number,1,157,4.2005,stage1_natural_stop
82,80,1,80,last_number,1,98,2.3539,stage1_natural_stop
83,45,1,45,last_number,1,134,3.198,stage1_natural_stop
84,36,1,36,last_number,1,75,1.7841,stage1_natural_stop
85,5,1,5,s3_last_number,3,771,21.0121,stage3_after_budget_exhausted
86,9,1,9,last_number,1,117,2.9655,stage1_natural_stop
87,36,1,36,last_number,1,99,2.3737,stage1_natural_stop
88,60,1,60,last_number,1,110,2.6588,stage1_natural_stop
89,9,1,9,last_number,1,105,2.5163,stage1_natural_stop
90,1,1,1,last_number,1,166,4.1762,stage1_natural_stop
91,30,1,30,last_number,1,191,4.577,stage1_natural_stop
92,70000,1,70000,last_number,1,212,5.1117,stage1_natural_stop
93,34,1,34,last_number,1,163,3.9036,stage1_natural_stop
94,13,1,13,last_number,1,213,5.1094,stage1_natural_stop
95,306,1,306,last_number,1,123,2.9517,stage1_natural_stop
96,55,1,55,last_number,1,156,3.6957,stage1_natural_stop
97,24,1,24,last_number,1,174,4.1291,stage1_natural_stop
98,75,1,75,last_number,1,68,1.6159,stage1_natural_stop
99,24,1,24,last_number,1,109,2.5842,stage1_natural_stop
100,50,1,50,s2_last_number,2,726,19.1178,stage2_complete
101,110,1,110,last_number,1,119,2.9253,stage1_natural_stop
102,452,1,452,last_number,1,193,4.8845,stage1_natural_stop
103,30,1,30,last_number,1,105,2.5025,stage1_natural_stop
104,80,1,80,last_number,1,87,2.0437,stage1_natural_stop
105,3,1,3,s2_last_number,2,705,18.6117,stage2_complete
106,120,1,120,last_number,1,104,2.5842,stage1_natural_stop
107,172,1,172,s3_last_number,3,788,21.1976,stage3_after_budget_exhausted
108,70,1,70,last_number,1,99,2.3622,stage1_natural_stop
109,13,1,13,last_number,1,109,2.5678,stage1_natural_stop
110,150,1,150,last_number,1,142,3.3429,stage1_natural_stop
111,18,0,10,last_number,1,116,2.7897,stage1_natural_stop
112,1,0,2,s3_last_number,3,771,20.2257,stage3_after_budget_exhausted
113,250,1,250,last_number,1,144,3.4203,stage1_natural_stop
114,3,1,3,last_number,1,71,1.6888,stage1_natural_stop
115,15,1,15,last_number,1,93,2.1978,stage1_natural_stop
116,12,1,12,last_number,1,110,2.581,stage1_natural_stop
117,60,1,60,last_number,1,127,3.0046,stage1_natural_stop
118,3,1,3,last_number,1,157,3.7151,stage1_natural_stop
119,9,1,9.00,last_number,1,187,4.4287,stage1_natural_stop
120,140000,1,140000,last_number,1,78,1.846,stage1_natural_stop
121,3,0,6,boxed,1,202,4.7643,stage1_natural_stop
122,2400,1,2400,last_number,1,129,3.0553,stage1_natural_stop
123,4,1,4,last_number,1,59,1.3904,stage1_natural_stop
124,79,1,79,last_number,1,230,5.4628,stage1_natural_stop
125,300,1,300,last_number,1,76,1.8117,stage1_natural_stop
126,91,1,91,last_number,1,199,4.7416,stage1_natural_stop
127,8,1,8,last_number,1,86,2.0341,stage1_natural_stop
128,120,1,120,last_number,1,89,2.118,stage1_natural_stop
129,350,1,350,last_number,1,136,3.2524,stage1_natural_stop
130,2600,1,2600,last_number,1,220,5.1332,stage1_natural_stop
131,10,1,10,last_number,1,163,3.8417,stage1_natural_stop
132,26,0,18,s3_last_number,3,766,20.3142,stage3_after_budget_exhausted
133,7,1,7,last_number,1,206,5.2245,stage1_natural_stop
134,31,1,31,last_number,1,138,3.3002,stage1_natural_stop
135,975,0,1200,s3_last_number,3,774,20.5278,stage3_after_budget_exhausted
136,20,1,20,s3_last_number,3,772,20.4803,stage3_after_budget_exhausted
137,120,1,120,last_number,1,193,5.0472,stage1_natural_stop
138,220,1,220,last_number,1,125,2.9924,stage1_natural_stop
139,87,1,87,last_number,1,72,1.7337,stage1_natural_stop
140,300,1,300,last_number,1,115,2.7495,stage1_natural_stop
141,30,0,32.5,last_number,1,162,3.9015,stage1_natural_stop
142,17,1,17,last_number,1,213,5.1239,stage1_natural_stop
143,16,1,16,last_number,1,90,2.1562,stage1_natural_stop
144,7,1,7,last_number,1,141,3.3962,stage1_natural_stop
145,81,1,81,last_number,1,134,3.2402,stage1_natural_stop
146,5,1,5,last_number,1,50,1.1923,stage1_natural_stop
147,9,1,9,last_number,1,119,2.8363,stage1_natural_stop
148,10,1,10,last_number,1,80,1.9005,stage1_natural_stop
149,24,1,24,s2_last_number,2,768,20.5487,stage2_complete
150,5,1,5.00,last_number,1,80,2.0017,stage1_natural_stop
151,50,1,50,last_number,1,87,2.107,stage1_natural_stop
152,48,1,48,boxed,1,187,4.924,stage1_natural_stop
153,25,1,25,last_number,1,71,1.6964,stage1_natural_stop
154,96,1,96,last_number,1,157,3.7667,stage1_natural_stop
155,25,1,25,last_number,1,137,3.2719,stage1_natural_stop
156,180,1,180,last_number,1,225,5.3837,stage1_natural_stop
157,21,1,21,last_number,1,62,1.4728,stage1_natural_stop
158,1200,1,1200,last_number,1,84,2.0154,stage1_natural_stop
159,255,1,255,last_number,1,152,3.63,stage1_natural_stop
160,4,1,4,last_number,1,93,2.2421,stage1_natural_stop
161,10,1,10,last_number,1,164,3.887,stage1_natural_stop
162,700,1,700,last_number,1,96,2.2709,stage1_natural_stop
163,38,1,38,last_number,1,57,1.357,stage1_natural_stop
164,32,1,32,last_number,1,106,2.5184,stage1_natural_stop
165,30,1,30,last_number,1,117,2.7828,stage1_natural_stop
166,16,1,16,last_number,1,72,1.7094,stage1_natural_stop
167,40,1,40,last_number,1,175,4.2207,stage1_natural_stop
168,288,1,288,last_number,1,60,1.4476,stage1_natural_stop
169,1100,1,1100,last_number,1,158,3.7655,stage1_natural_stop
170,20,1,20,last_number,1,117,2.8221,stage1_natural_stop
171,2,1,2,last_number,1,121,2.9213,stage1_natural_stop
172,2880000,0,3120000,last_number,1,190,4.5733,stage1_natural_stop
173,9,1,9,last_number,1,85,2.0183,stage1_natural_stop
174,132,1,132,last_number,1,83,1.9577,stage1_natural_stop
175,93,1,93,last_number,1,135,3.2122,stage1_natural_stop
176,4,1,4,last_number,1,140,3.3209,stage1_natural_stop
177,85,1,85,last_number,1,121,2.8897,stage1_natural_stop
178,33,1,33,last_number,1,163,3.891,stage1_natural_stop
179,12,1,12,last_number,1,152,3.5945,stage1_natural_stop
180,7200,1,7200,last_number,1,111,2.636,stage1_natural_stop
181,60,1,60,last_number,1,102,2.4249,stage1_natural_stop
182,44,1,44,last_number,1,134,3.1928,stage1_natural_stop
183,113,1,113.00,last_number,1,223,5.3443,stage1_natural_stop
184,"43,500",1,43500,last_number,1,230,5.4651,stage1_natural_stop
185,720,1,720,last_number,1,74,1.8002,stage1_natural_stop
186,50,1,50,last_number,1,124,2.9926,stage1_natural_stop
187,24,1,24,last_number,1,130,3.0943,stage1_natural_stop
188,43,1,43,last_number,1,121,2.8945,stage1_natural_stop
189,30,1,30,last_number,1,85,2.0271,stage1_natural_stop
190,23,1,23,last_number,1,239,5.7225,stage1_natural_stop
191,251,1,251,last_number,1,197,4.7445,stage1_natural_stop
192,35,1,35,last_number,1,70,1.6816,stage1_natural_stop
193,50,1,50,last_number,1,158,3.8173,stage1_natural_stop
194,82,1,82,last_number,1,76,1.8241,stage1_natural_stop
195,2100,1,2100,last_number,1,171,4.1563,stage1_natural_stop
196,3,1,3,last_number,1,214,5.1738,stage1_natural_stop
197,12,1,12,last_number,1,77,1.8514,stage1_natural_stop
198,11,1,11,last_number,1,160,3.8376,stage1_natural_stop
199,12,1,12,last_number,1,117,2.7521,stage1_natural_stop
