test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,28,first4,a|classroom|has|a,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,29,first4,jillian|s|handbag|cost,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,30,first4,the|number|of|students,256,256,1,264.0,0.92265625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,31,first4,each|pole|on|a,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,32,first4,juan|asked|his|neighbor,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,33,first4,kelly|has|5|quarters,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,34,first4,dora|s|father|s,512,512,1,518.0,0.8482421875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,35,first4,ted|starts|with|200,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,36,first4,katherine|has|5|hanging,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,37,first4,mike|decides|he|wants,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,38,first4,a|news|website|publishes,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,39,first4,faraday|owns|a|flower,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,0,first4,a|wooden|bridge|can,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,1,first4,it|takes|240|minutes,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,2,first4,gissela|gordy|and|gary,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,3,first4,colby|loves|going|to,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,4,first4,it|takes|20|minutes,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,5,first4,vince|can|staple|30,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,6,first4,britany|records|18|4,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,7,first4,sally|has|realized|she,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,8,first4,melanie|is|a|door,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,9,first4,courtney|attended|a|concert,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,10,first4,tony|is|painting|a,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,11,first4,zaid|spends|1|4,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,12,first4,will|buys|15|oranges,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,13,first4,gary|does|laundry|twice,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,14,first4,a|company|produces|chocolate,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,15,first4,there|are|currently|3,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,16,first4,adrien|s|total|salary,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,17,first4,on|tuesday|peter|wants,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,18,first4,a|raspberry|bush|has,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,19,first4,the|red|rope|was,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,20,first4,out|of|the|200,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,21,first4,in|one|year|the,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,22,first4,mia|and|emma|are,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,23,first4,solo|has|to|read,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,24,first4,hallie|had|dance|practice,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,25,first4,mark|buys|one|lottery,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,26,first4,a|car|is|on,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,27,first4,my|wife|wants|to,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,28,first4,ron|is|fed|up,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,29,first4,jim|has|a|20,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,30,first4,there|are|27|unicorns,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,31,first4,dolly|has|two|books,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,32,first4,john|decides|to|get,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,33,first4,maria|buys|8|shares,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,34,first4,jenna|starts|out|with,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,35,first4,the|cheese|pizza|is,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,36,first4,a|regular|box|of,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,37,first4,mason|is|on|his,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,38,first4,nick|had|twice|as,256,256,1,268.0,0.921484375
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,39,first4,sunny|is|selling|gingerbread,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,0,first4,mark|is|a|copy,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,1,first4,in|one|hour|ezra,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,2,first4,kira|bought|3|apples,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,3,first4,teresa|sells|large|stuffed,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,4,first4,mark|took|a|test,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,5,first4,the|bakers|at|the,256,256,1,262.0,0.9232421875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,6,first4,bud|makes|homemade|macaroni,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,7,first4,robert|had|3|pounds,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,8,first4,a|farmer|is|buying,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,9,first4,tom|plants|10|trees,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,10,first4,bahati|azibo|and|dinar,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,11,first4,jillian|s|handbag|cost,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,12,first4,a|robe|takes|2,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,13,first4,jim|is|making|a,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,14,first4,there|are|forty|apples,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,15,first4,out|of|the|200,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,16,first4,while|joanne|is|gathering,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,17,first4,may|is|getting|her,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,18,first4,jill|gets|paid|20,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,19,first4,joe|s|bag|of,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,20,first4,a|stickler|for|health,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,21,first4,a|train|travels|between,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,22,first4,emil|is|19|years,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,23,first4,adam|went|to|a,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,24,first4,three|teenagers|are|playing,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,25,first4,a|three|toed|sloth,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,26,first4,sophia|is|thinking|of,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,27,first4,juan|wants|to|add,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,28,first4,manolo|bought|five|lollipops,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,29,first4,martha|s|cat|is,256,256,1,285.0,0.91650390625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,30,first4,johnny|took|his|allowance,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,31,first4,mary|is|two|years,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,32,first4,cars|have|lined|up,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,33,first4,jame|will|turn|27,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,34,first4,six|years|ago|when,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,35,first4,billy|is|volunteering|his,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,36,first4,dale|is|selling|butterscotch,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,37,first4,lani|baked|55|cookies,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,38,first4,the|marching|band|is,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_154356.csv,39,first4,david|and|dasha|went,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,0,first4,mico|and|marco|wanted,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,1,first4,the|glee|club|ordered,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,2,first4,mary|is|an|avid,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,3,first4,amy|is|taking|a,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,4,first4,there|are|30|students,256,256,1,263.0,0.92294921875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,5,first4,annika|brought|50|to,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,6,first4,mr|hezekiah|had|20,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,7,first4,for|the|children|s,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,8,first4,colorado|city|uses|40,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,9,first4,boris|has|100|apples,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,10,first4,josie|grows|grapes|on,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,11,first4,shannon|makes|her|own,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,12,first4,jeff|and|brad|are,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,13,first4,rose|bought|five|dozens,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,14,first4,the|rainstorm|flooded|the,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,15,first4,micheal|loves|riding|a,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,16,first4,john|collects|garbage|from,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,17,first4,at|a|restaurant|juice,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,18,first4,ricardo|grows|tomatoes|and,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,19,first4,sasha|notices|that|prices,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,20,first4,richard|lives|in|an,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,21,first4,geb|is|10|less,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,22,first4,raymond|had|21|then,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,23,first4,twenty|dozen|cups|cost,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,24,first4,chase|and|rider|can,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,25,first4,dr|hugo|grumpus|and,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,26,first4,the|zookeeper|feeds|all,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,27,first4,a|family|of|6,256,128,1,266.0,0.9220703125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,28,first4,marilyn|wants|to|buy,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,29,first4,a|bag|of|buttons,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,30,first4,rayna|has|60|more,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,31,first4,a|dvd|can|be,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,32,first4,tyrion|changes|his|face,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,33,first4,derrick|has|a|bakery,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,34,first4,tim|decides|to|light,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,35,first4,in|a|neighborhood|the,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,36,first4,henry|needs|to|assemble,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,37,first4,john|buys|milk|for,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,38,first4,if|sam|and|harry,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_192225.csv,39,first4,isabelle|bought|party|supplies,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,0,first4,manny|signed|up|for,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,1,first4,peter|has|70|and,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,2,first4,the|ice|cream|parlor,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,3,first4,alicia|s|clothes|have,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,4,first4,mark|works|at|his,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,5,first4,90|single|use|contacts,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,6,first4,ronnie|was|given|5,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,7,first4,mr|maxim|works|at,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,8,first4,two|sports|coaches|went,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,9,first4,every|day|wendi|feeds,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,10,first4,at|a|certain|grade,256,256,1,263.0,0.92294921875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,11,first4,melissa|is|summoned|to,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,12,first4,ted|the|t|rex,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,13,first4,alice|has|6|more,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,14,first4,in|one|hour|ezra,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,15,first4,andy|works|in|the,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,16,first4,joey|has|214|points,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,17,first4,mary|buys|3|bags,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,18,first4,walter|bought|60|apples,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,19,first4,karan|borrowed|3|650,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,20,first4,artie|has|a|flower,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,21,first4,robert|is|building|a,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,22,first4,marcel|runs|a|bicycle,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,23,first4,henry|and|3|of,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,24,first4,stephen|borrowed|300|from,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,25,first4,while|working|at|the,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,26,first4,it|costs|194|per,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,27,first4,a|restaurant|has|40,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,28,first4,morisette|and|kael|were,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,29,first4,marissa|is|hiking|a,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,30,first4,courtney|attended|a|concert,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,31,first4,an|apple|orchard|sells,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,32,first4,a|hand|painted|wallpaper,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,33,first4,in|the|first|half,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,34,first4,a|tower|is|made,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,35,first4,a|hotel|in|the,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,36,first4,a|pen|costs|as,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,37,first4,regina|wrote|9|novels,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,38,first4,antoine|s|french|onion,256,256,1,261.0,0.92353515625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260228_050913.csv,39,first4,uriah|s|book|bag,256,256,1,288.0,0.915625
