idx,features,chosen_budget,oracle_budget,correct,tokens,utility
34,000,256,64,0,288.0,-0.043199999999999995
35,000,256,128,1,288.0,0.9568
36,000,256,64,0,288.0,-0.043199999999999995
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,256,1,288.0,0.9568
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,64,0,288.0,-0.043199999999999995
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,256,1,288.0,0.9568
3,000,256,256,1,288.0,0.9568
4,000,256,64,0,288.0,-0.043199999999999995
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,256,1,288.0,0.9568
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,256,1,288.0,0.9568
10,000,256,256,1,288.0,0.9568
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,128,1,288.0,0.9568
13,000,256,64,0,288.0,-0.043199999999999995
14,000,256,256,1,288.0,0.9568
15,000,256,128,1,288.0,0.9568
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,128,1,288.0,0.9568
18,000,256,128,1,288.0,0.9568
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,64,0,288.0,-0.043199999999999995
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,128,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,128,0,288.0,-0.043199999999999995
25,000,256,128,1,288.0,0.9568
26,000,256,128,1,288.0,0.9568
27,000,256,64,0,288.0,-0.043199999999999995
28,000,256,128,0,288.0,-0.043199999999999995
29,000,256,64,0,288.0,-0.043199999999999995
30,000,256,256,1,288.0,0.9568
31,000,256,128,1,288.0,0.9568
32,000,256,256,1,288.0,0.9568
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,256,1,288.0,0.9568
35,000,256,128,0,288.0,-0.043199999999999995
36,000,256,128,0,288.0,-0.043199999999999995
37,000,256,128,1,288.0,0.9568
38,000,256,256,1,268.0,0.9598
39,000,256,256,1,288.0,0.9568
0,000,256,64,0,288.0,-0.043199999999999995
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,128,1,288.0,0.9568
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,64,0,288.0,-0.043199999999999995
5,000,256,256,1,262.0,0.9607
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,128,0,288.0,-0.043199999999999995
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,256,1,288.0,0.9568
11,000,256,128,1,288.0,0.9568
12,000,256,128,1,288.0,0.9568
13,000,256,256,1,288.0,0.9568
14,000,256,128,0,288.0,-0.043199999999999995
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,128,1,288.0,0.9568
18,000,256,128,0,288.0,-0.043199999999999995
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,64,0,288.0,-0.043199999999999995
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,64,0,288.0,-0.043199999999999995
23,000,256,256,1,288.0,0.9568
24,000,256,64,0,288.0,-0.043199999999999995
25,000,256,128,1,288.0,0.9568
26,000,256,128,1,288.0,0.9568
27,000,256,256,1,288.0,0.9568
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,256,1,285.0,0.95725
30,000,256,128,1,288.0,0.9568
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,128,1,288.0,0.9568
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,64,0,288.0,-0.043199999999999995
35,000,256,256,1,288.0,0.9568
36,000,256,256,1,288.0,0.9568
37,000,256,256,1,288.0,0.9568
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,256,1,288.0,0.9568
0,000,256,128,1,288.0,0.9568
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,256,1,263.0,0.96055
5,000,256,128,1,288.0,0.9568
6,000,256,128,1,288.0,0.9568
7,000,256,256,1,288.0,0.9568
8,000,256,128,1,288.0,0.9568
9,000,256,256,1,288.0,0.9568
10,000,256,128,1,288.0,0.9568
11,000,256,256,1,288.0,0.9568
12,000,256,64,0,288.0,-0.043199999999999995
13,000,256,256,1,288.0,0.9568
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,128,1,288.0,0.9568
18,000,256,128,1,288.0,0.9568
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,256,1,288.0,0.9568
21,000,256,128,1,288.0,0.9568
22,000,256,128,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,64,0,288.0,-0.043199999999999995
25,000,256,128,1,288.0,0.9568
26,000,256,256,1,288.0,0.9568
27,000,256,128,1,266.0,0.9601
28,000,256,128,1,288.0,0.9568
29,000,256,128,1,288.0,0.9568
30,000,256,256,1,288.0,0.9568
31,000,256,128,1,288.0,0.9568
32,000,256,128,1,288.0,0.9568
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,256,1,288.0,0.9568
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,64,0,288.0,-0.043199999999999995
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,128,1,288.0,0.9568
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,128,1,288.0,0.9568
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,128,1,288.0,0.9568
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,256,1,288.0,0.9568
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,256,1,263.0,0.96055
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,128,0,288.0,-0.043199999999999995
13,000,256,64,0,288.0,-0.043199999999999995
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,64,0,288.0,-0.043199999999999995
18,000,256,64,0,288.0,-0.043199999999999995
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,64,0,288.0,-0.043199999999999995
21,000,256,128,1,288.0,0.9568
22,000,256,64,0,288.0,-0.043199999999999995
23,000,256,128,1,288.0,0.9568
24,000,256,64,0,288.0,-0.043199999999999995
25,000,256,64,0,288.0,-0.043199999999999995
26,000,256,64,0,288.0,-0.043199999999999995
27,000,256,128,0,288.0,-0.043199999999999995
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,256,1,288.0,0.9568
30,000,256,256,1,288.0,0.9568
31,000,256,128,1,288.0,0.9568
32,000,256,128,1,288.0,0.9568
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,64,0,288.0,-0.043199999999999995
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,128,0,288.0,-0.043199999999999995
37,000,256,128,1,288.0,0.9568
38,000,256,256,1,261.0,0.96085
39,000,256,256,1,288.0,0.9568
0,000,256,64,0,288.0,-0.043199999999999995
1,000,256,128,1,288.0,0.9568
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,128,1,288.0,0.9568
4,000,256,256,1,262.0,0.9607
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,256,1,288.0,0.9568
8,000,256,128,1,288.0,0.9568
9,000,256,256,1,288.0,0.9568
10,000,256,64,0,288.0,-0.043199999999999995
11,000,256,256,1,288.0,0.9568
12,000,256,128,1,288.0,0.9568
13,000,256,64,0,288.0,-0.043199999999999995
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,256,1,288.0,0.9568
16,000,256,128,1,288.0,0.9568
17,000,256,256,1,288.0,0.9568
18,000,256,64,0,288.0,-0.043199999999999995
19,000,256,128,1,288.0,0.9568
20,000,256,256,1,262.0,0.9607
21,000,256,256,1,288.0,0.9568
22,000,256,64,0,288.0,-0.043199999999999995
23,000,256,256,1,288.0,0.9568
24,000,256,128,1,288.0,0.9568
25,000,256,64,0,288.0,-0.043199999999999995
26,000,256,128,1,288.0,0.9568
27,000,256,64,0,288.0,-0.043199999999999995
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,128,0,288.0,-0.043199999999999995
30,000,256,128,0,288.0,-0.043199999999999995
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,64,0,288.0,-0.043199999999999995
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,64,0,288.0,-0.043199999999999995
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,64,0,288.0,-0.043199999999999995
37,000,256,128,1,288.0,0.9568
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,128,1,288.0,0.9568
1,000,256,128,0,288.0,-0.043199999999999995
2,000,256,128,1,288.0,0.9568
3,000,256,128,0,288.0,-0.043199999999999995
4,000,256,64,0,288.0,-0.043199999999999995
5,000,256,256,1,288.0,0.9568
6,000,256,256,1,288.0,0.9568
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,64,0,288.0,-0.043199999999999995
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,64,0,288.0,-0.043199999999999995
13,000,256,128,1,288.0,0.9568
14,000,256,128,1,270.0,0.9595
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,256,1,263.0,0.96055
17,000,256,64,0,288.0,-0.043199999999999995
18,000,256,128,0,288.0,-0.043199999999999995
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,256,1,263.0,0.96055
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,256,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,256,1,288.0,0.9568
25,000,256,128,1,288.0,0.9568
26,000,256,128,0,288.0,-0.043199999999999995
27,000,256,128,1,288.0,0.9568
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,256,1,268.0,0.9598
30,000,256,128,1,288.0,0.9568
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,64,0,288.0,-0.043199999999999995
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,128,0,288.0,-0.043199999999999995
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,128,1,288.0,0.9568
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,128,0,288.0,-0.043199999999999995
0,000,256,128,1,288.0,0.9568
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,64,0,288.0,-0.043199999999999995
5,000,256,128,0,263.0,-0.03945
6,000,256,256,1,288.0,0.9568
7,000,256,128,0,288.0,-0.043199999999999995
8,000,256,128,1,288.0,0.9568
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,128,1,288.0,0.9568
11,000,256,128,1,288.0,0.9568
12,000,256,256,1,288.0,0.9568
13,000,256,256,1,288.0,0.9568
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,128,1,288.0,0.9568
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,64,0,288.0,-0.043199999999999995
18,000,256,128,0,288.0,-0.043199999999999995
19,000,256,64,0,263.0,-0.03945
20,000,256,128,1,288.0,0.9568
21,000,256,256,1,288.0,0.9568
22,000,256,256,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,64,0,288.0,-0.043199999999999995
25,000,256,128,1,288.0,0.9568
26,000,256,64,0,288.0,-0.043199999999999995
27,000,256,256,1,288.0,0.9568
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,64,0,288.0,-0.043199999999999995
30,000,256,64,0,288.0,-0.043199999999999995
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,64,0,288.0,-0.043199999999999995
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,64,0,288.0,-0.043199999999999995
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,128,1,288.0,0.9568
37,000,256,128,1,288.0,0.9568
38,000,256,128,1,263.0,0.96055
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,64,0,288.0,-0.043199999999999995
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,128,1,288.0,0.9568
4,000,256,128,1,288.0,0.9568
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,128,1,263.0,0.96055
10,000,256,128,1,288.0,0.9568
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,128,1,288.0,0.9568
13,000,256,128,0,288.0,-0.043199999999999995
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,256,1,288.0,0.9568
17,000,256,64,0,288.0,-0.043199999999999995
18,000,256,256,1,288.0,0.9568
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,256,1,288.0,0.9568
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,64,0,288.0,-0.043199999999999995
23,000,256,128,1,288.0,0.9568
24,000,256,256,1,288.0,0.9568
25,000,256,64,0,288.0,-0.043199999999999995
26,000,256,256,1,288.0,0.9568
27,000,256,64,0,288.0,-0.043199999999999995
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,256,1,288.0,0.9568
30,000,256,128,0,288.0,-0.043199999999999995
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,256,1,263.0,0.96055
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,128,1,288.0,0.9568
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,64,0,288.0,-0.043199999999999995
37,000,256,256,1,288.0,0.9568
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,256,1,288.0,0.9568
0,000,256,64,0,288.0,-0.043199999999999995
1,000,256,128,1,288.0,0.9568
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,64,0,288.0,-0.043199999999999995
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,128,0,288.0,-0.043199999999999995
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,128,1,288.0,0.9568
10,000,256,128,0,288.0,-0.043199999999999995
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,64,0,288.0,-0.043199999999999995
13,000,256,64,0,288.0,-0.043199999999999995
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,256,1,288.0,0.9568
16,000,256,128,1,288.0,0.9568
17,000,256,128,1,288.0,0.9568
18,000,256,128,1,288.0,0.9568
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,128,1,288.0,0.9568
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,128,0,288.0,-0.043199999999999995
23,000,256,128,1,288.0,0.9568
24,000,256,256,1,288.0,0.9568
25,000,256,128,0,288.0,-0.043199999999999995
26,000,256,64,0,288.0,-0.043199999999999995
27,000,256,256,1,288.0,0.9568
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,128,1,270.0,0.9595
30,000,256,128,1,288.0,0.9568
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,64,0,288.0,-0.043199999999999995
33,000,256,128,0,288.0,-0.043199999999999995
34,000,256,128,1,288.0,0.9568
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,128,0,288.0,-0.043199999999999995
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,256,1,288.0,0.9568
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,128,0,288.0,-0.043199999999999995
1,000,256,256,1,288.0,0.9568
2,000,256,128,1,288.0,0.9568
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,64,0,288.0,-0.043199999999999995
5,000,256,128,1,288.0,0.9568
6,000,256,128,1,288.0,0.9568
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,128,1,270.0,0.9595
9,000,256,256,1,288.0,0.9568
10,000,256,64,0,288.0,-0.043199999999999995
11,000,256,128,1,288.0,0.9568
12,000,256,128,1,288.0,0.9568
13,000,256,256,1,288.0,0.9568
14,000,256,128,1,288.0,0.9568
15,000,256,128,1,288.0,0.9568
16,000,256,256,1,288.0,0.9568
17,000,256,256,1,288.0,0.9568
18,000,256,64,0,288.0,-0.043199999999999995
19,000,256,128,1,288.0,0.9568
20,000,256,128,1,288.0,0.9568
21,000,256,256,1,288.0,0.9568
22,000,256,256,1,288.0,0.9568
23,000,256,256,1,288.0,0.9568
24,000,256,128,1,270.0,0.9595
25,000,256,256,1,288.0,0.9568
26,000,256,128,1,288.0,0.9568
27,000,256,256,1,288.0,0.9568
28,000,256,256,1,288.0,0.9568
29,000,256,128,1,288.0,0.9568
30,000,256,256,1,288.0,0.9568
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,128,1,288.0,0.9568
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,256,1,288.0,0.9568
35,000,256,256,1,263.0,0.96055
36,000,256,128,1,288.0,0.9568
37,000,256,128,0,288.0,-0.043199999999999995
38,000,256,128,1,288.0,0.9568
39,000,256,128,1,288.0,0.9568
0,000,256,256,1,288.0,0.9568
1,000,256,256,1,263.0,0.96055
2,000,256,128,1,288.0,0.9568
3,000,256,128,1,288.0,0.9568
4,000,256,128,0,288.0,-0.043199999999999995
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,128,1,288.0,0.9568
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,64,0,288.0,-0.043199999999999995
11,000,256,128,1,288.0,0.9568
12,000,256,256,1,288.0,0.9568
13,000,256,128,1,288.0,0.9568
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,256,1,288.0,0.9568
17,000,256,256,1,288.0,0.9568
18,000,256,64,0,288.0,-0.043199999999999995
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,64,0,288.0,-0.043199999999999995
21,000,256,128,1,288.0,0.9568
22,000,256,64,0,288.0,-0.043199999999999995
23,000,256,256,1,263.0,0.96055
24,000,256,64,0,288.0,-0.043199999999999995
25,000,256,256,1,288.0,0.9568
26,000,256,128,1,288.0,0.9568
27,000,256,64,0,288.0,-0.043199999999999995
28,000,256,128,1,288.0,0.9568
29,000,256,128,1,288.0,0.9568
30,000,256,64,0,288.0,-0.043199999999999995
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,128,1,288.0,0.9568
33,000,256,128,0,288.0,-0.043199999999999995
34,000,256,256,1,288.0,0.9568
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,256,1,288.0,0.9568
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,256,1,288.0,0.9568
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,256,1,288.0,0.9568
1,000,256,128,0,288.0,-0.043199999999999995
2,000,256,256,1,262.0,0.9607
3,000,256,128,1,288.0,0.9568
4,000,256,128,1,288.0,0.9568
5,000,256,128,0,288.0,-0.043199999999999995
6,000,256,128,1,288.0,0.9568
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,256,1,288.0,0.9568
10,000,256,64,0,288.0,-0.043199999999999995
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,64,0,288.0,-0.043199999999999995
13,000,256,64,0,288.0,-0.043199999999999995
14,000,256,128,1,288.0,0.9568
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,128,0,262.0,-0.0393
17,000,256,128,1,262.0,0.9607
18,000,256,64,0,288.0,-0.043199999999999995
19,000,256,128,1,288.0,0.9568
20,000,256,64,0,288.0,-0.043199999999999995
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,128,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,128,0,288.0,-0.043199999999999995
25,000,256,64,0,288.0,-0.043199999999999995
26,000,256,64,0,288.0,-0.043199999999999995
27,000,256,64,0,288.0,-0.043199999999999995
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,128,0,288.0,-0.043199999999999995
30,000,256,64,0,288.0,-0.043199999999999995
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,64,0,288.0,-0.043199999999999995
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,64,0,288.0,-0.043199999999999995
35,000,256,256,1,288.0,0.9568
36,000,256,128,1,288.0,0.9568
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,64,0,288.0,-0.043199999999999995
0,000,256,64,0,288.0,-0.043199999999999995
1,000,256,256,1,288.0,0.9568
2,000,256,128,1,288.0,0.9568
3,000,256,64,0,288.0,-0.043199999999999995
4,000,256,128,1,288.0,0.9568
5,000,256,256,1,288.0,0.9568
6,000,256,128,1,288.0,0.9568
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,256,1,288.0,0.9568
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,64,0,288.0,-0.043199999999999995
11,000,256,256,1,288.0,0.9568
12,000,256,128,1,263.0,0.96055
13,000,256,128,1,270.0,0.9595
14,000,256,128,1,288.0,0.9568
15,000,256,256,1,261.0,0.96085
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,256,1,288.0,0.9568
18,000,256,64,0,288.0,-0.043199999999999995
19,000,256,64,0,288.0,-0.043199999999999995
20,000,256,128,1,288.0,0.9568
21,000,256,128,1,288.0,0.9568
22,000,256,256,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,128,0,288.0,-0.043199999999999995
25,000,256,256,1,288.0,0.9568
26,000,256,128,1,288.0,0.9568
27,000,256,64,0,288.0,-0.043199999999999995
28,000,256,128,1,265.0,0.96025
29,000,256,64,0,288.0,-0.043199999999999995
30,000,256,128,1,288.0,0.9568
31,000,256,64,0,288.0,-0.043199999999999995
32,000,256,128,1,288.0,0.9568
33,000,256,128,1,288.0,0.9568
34,000,256,128,1,288.0,0.9568
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,128,1,288.0,0.9568
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,256,1,266.0,0.9601
0,000,256,256,1,288.0,0.9568
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,128,1,288.0,0.9568
4,000,256,128,1,288.0,0.9568
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,64,0,288.0,-0.043199999999999995
9,000,256,128,1,288.0,0.9568
10,000,256,256,1,264.0,0.9604
11,000,256,128,0,288.0,-0.043199999999999995
12,000,256,64,0,263.0,-0.03945
13,000,256,64,0,288.0,-0.043199999999999995
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,128,0,288.0,-0.043199999999999995
16,000,256,64,0,288.0,-0.043199999999999995
17,000,256,64,0,288.0,-0.043199999999999995
18,000,256,128,1,288.0,0.9568
19,000,256,256,1,288.0,0.9568
20,000,256,128,1,288.0,0.9568
21,000,256,128,1,288.0,0.9568
22,000,256,64,0,288.0,-0.043199999999999995
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,256,1,288.0,0.9568
25,000,256,64,0,263.0,-0.03945
26,000,256,128,0,288.0,-0.043199999999999995
27,000,256,128,1,288.0,0.9568
28,000,256,64,0,288.0,-0.043199999999999995
29,000,256,64,0,288.0,-0.043199999999999995
30,000,256,64,0,288.0,-0.043199999999999995
31,000,256,128,1,288.0,0.9568
32,000,256,256,1,262.0,0.9607
33,000,256,64,0,288.0,-0.043199999999999995
34,000,256,256,1,263.0,0.96055
35,000,256,64,0,288.0,-0.043199999999999995
36,000,256,64,0,288.0,-0.043199999999999995
37,000,256,64,0,288.0,-0.043199999999999995
38,000,256,64,0,288.0,-0.043199999999999995
39,000,256,128,1,288.0,0.9568
0,000,256,128,0,263.0,-0.03945
1,000,256,128,0,288.0,-0.043199999999999995
2,000,256,128,1,288.0,0.9568
3,000,256,256,1,288.0,0.9568
4,000,256,256,1,288.0,0.9568
5,000,256,256,1,263.0,0.96055
6,000,256,128,0,288.0,-0.043199999999999995
7,000,256,256,1,288.0,0.9568
8,000,256,256,1,288.0,0.9568
9,000,256,64,0,288.0,-0.043199999999999995
10,000,256,128,1,288.0,0.9568
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,256,1,288.0,0.9568
13,000,256,128,1,288.0,0.9568
14,000,256,64,0,288.0,-0.043199999999999995
15,000,256,64,0,288.0,-0.043199999999999995
16,000,256,64,0,270.0,-0.0405
17,000,256,64,0,288.0,-0.043199999999999995
